sensor_id,zone_id,timestamp,displacement_mm_day,vibration,pore_pressure,strain,rainfall_mm,risk_level
SNS-zone_07-01,zone_07,2025-08-23T00:00:00Z,62.14,0.152,84.09,457.56,14.6,warning
SNS-zone_08-01,zone_08,2025-08-23T00:00:00Z,68.06,0.153,82.03,461.21,14.6,warning
SNS-zone_09-01,zone_09,2025-08-23T00:00:00Z,8.65,0.016,34.79,98.06,14.6,safe
SNS-zone_10-01,zone_10,2025-08-23T00:00:00Z,73.16,0.163,82.42,485.74,14.6,warning
SNS-zone_11-01,zone_11,2025-08-23T00:00:00Z,155.18,0.474,129.78,1130.21,14.6,evacuation
SNS-zone_12-01,zone_12,2025-08-23T00:00:00Z,159.65,0.485,112.89,1099.14,14.6,evacuation
SNS-zone_13-01,zone_13,2025-08-23T00:00:00Z,4.58,0.021,47.49,105.38,14.6,safe
SNS-zone_14-01,zone_14,2025-08-23T00:00:00Z,14.85,0.024,42.82,138.09,14.6,safe
SNS-zone_15-01,zone_15,2025-08-23T00:00:00Z,9.19,0.016,45.99,110.7,14.6,safe
SNS-zone_16-01,zone_16,2025-08-23T00:00:00Z,13.6,0.019,38.89,113.38,14.6,safe
SNS-zone_01-01,zone_01,2025-08-24T00:00:00Z,18.13,0.024,49.71,130.97,28.6,safe
SNS-zone_02-01,zone_02,2025-08-24T00:00:00Z,24.12,0.037,38.89,145.27,28.6,safe
SNS-zone_03-01,zone_03,2025-08-24T00:00:00Z,18.27,0.032,40.03,132.89,28.6,safe
SNS-zone_04-01,zone_04,2025-08-24T00:00:00Z,23.32,0.025,47.68,155.02,28.6,safe
SNS-zone_05-01,zone_05,2025-08-24T00:00:00Z,17.72,0.033,53.28,140.09,28.6,safe
SNS-zone_06-01,zone_06,2025-08-24T00:00:00Z,72.62,0.16,81.17,499.79,28.6,warning
SNS-zone_07-01,zone_07,2025-08-24T00:00:00Z,76.32,0.175,94.35,515.19,28.6,warning
SNS-zone_08-01,zone_08,2025-08-24T00:00:00Z,70.69,0.16,87.74,486.55,28.6,warning
SNS-zone_09-01,zone_09,2025-08-24T00:00:00Z,11.33,0.023,34.81,109.33,28.6,safe
SNS-zone_10-01,zone_10,2025-08-24T00:00:00Z,71.3,0.166,87.61,499.27,28.6,warning
SNS-zone_11-01,zone_11,2025-08-24T00:00:00Z,172.6,0.517,143.98,1217.09,28.6,evacuation
SNS-zone_12-01,zone_12,2025-08-24T00:00:00Z,172.5,0.513,126.8,1171.91,28.6,evacuation
SNS-zone_13-01,zone_13,2025-08-24T00:00:00Z,10.5,0.021,51.24,124.42,28.6,safe
SNS-zone_14-01,zone_14,2025-08-24T00:00:00Z,15.02,0.025,47.53,121.45,28.6,safe
SNS-zone_15-01,zone_15,2025-08-24T00:00:00Z,12.28,0.019,52.99,136.18,28.6,safe
SNS-zone_16-01,zone_16,2025-08-24T00:00:00Z,19.02,0.018,41.08,140.89,28.6,safe
SNS-zone_01-01,zone_01,2025-08-25T00:00:00Z,20.85,0.023,47.64,138.97,7.8,safe
SNS-zone_02-01,zone_02,2025-08-25T00:00:00Z,20.78,0.026,38.09,135.8,7.8,safe
SNS-zone_03-01,zone_03,2025-08-25T00:00:00Z,19.73,0.026,39.87,122.85,7.8,safe
SNS-zone_04-01,zone_04,2025-08-25T00:00:00Z,23.52,0.028,47.6,144.43,7.8,safe
SNS-zone_05-01,zone_05,2025-08-25T00:00:00Z,19.28,0.023,51.03,141.22,7.8,safe
SNS-zone_06-01,zone_06,2025-08-25T00:00:00Z,80.51,0.184,80.27,502.76,7.8,warning
SNS-zone_07-01,zone_07,2025-08-25T00:00:00Z,69.86,0.165,92.2,477.43,7.8,warning
SNS-zone_08-01,zone_08,2025-08-25T00:00:00Z,68.75,0.153,84.8,492.33,7.8,warning
SNS-zone_09-01,zone_09,2025-08-25T00:00:00Z,12.31,0.021,37.96,104.15,7.8,safe
SNS-zone_10-01,zone_10,2025-08-25T00:00:00Z,71.34,0.16,88.41,507.82,7.8,warning
SNS-zone_11-01,zone_11,2025-08-25T00:00:00Z,160.91,0.491,144.25,1175.97,7.8,evacuation
SNS-zone_12-01,zone_12,2025-08-25T00:00:00Z,162.88,0.5,123.64,1160.8,7.8,evacuation
SNS-zone_13-01,zone_13,2025-08-25T00:00:00Z,10.26,0.026,51.52,126.22,7.8,safe
SNS-zone_14-01,zone_14,2025-08-25T00:00:00Z,15.92,0.02,48.36,133.31,7.8,safe
SNS-zone_15-01,zone_15,2025-08-25T00:00:00Z,13.93,0.024,50.96,136.37,7.8,safe
SNS-zone_16-01,zone_16,2025-08-25T00:00:00Z,11.67,0.025,40.66,120.32,7.8,safe
SNS-zone_01-01,zone_01,2025-08-26T00:00:00Z,18.27,0.021,49.02,139.56,1.7,safe
SNS-zone_02-01,zone_02,2025-08-26T00:00:00Z,22.77,0.031,36.01,142.28,1.7,safe
SNS-zone_03-01,zone_03,2025-08-26T00:00:00Z,16.11,0.022,39.47,120.24,1.7,safe
SNS-zone_04-01,zone_04,2025-08-26T00:00:00Z,20.45,0.032,46.66,136.77,1.7,safe
SNS-zone_05-01,zone_05,2025-08-26T00:00:00Z,18.75,0.027,47.43,139.36,1.7,safe
SNS-zone_06-01,zone_06,2025-08-26T00:00:00Z,71.8,0.158,75.29,488.25,1.7,warning
SNS-zone_07-01,zone_07,2025-08-26T00:00:00Z,68.08,0.164,88.4,472.59,1.7,warning
SNS-zone_08-01,zone_08,2025-08-26T00:00:00Z,64.84,0.16,84.91,465.15,1.7,warning
SNS-zone_09-01,zone_09,2025-08-26T00:00:00Z,8.77,0.023,34.79,103.15,1.7,safe
SNS-zone_10-01,zone_10,2025-08-26T00:00:00Z,68.41,0.161,85.62,481.34,1.7,warning
SNS-zone_11-01,zone_11,2025-08-26T00:00:00Z,166.87,0.498,136.92,1163.63,1.7,evacuation
SNS-zone_12-01,zone_12,2025-08-26T00:00:00Z,161.06,0.478,120.33,1139.7,1.7,evacuation
SNS-zone_13-01,zone_13,2025-08-26T00:00:00Z,13.12,0.029,50.53,126.1,1.7,safe
SNS-zone_14-01,zone_14,2025-08-26T00:00:00Z,16.6,0.032,45.83,129.68,1.7,safe
SNS-zone_15-01,zone_15,2025-08-26T00:00:00Z,12.22,0.015,49.68,135.14,1.7,safe
SNS-zone_16-01,zone_16,2025-08-26T00:00:00Z,16.01,0.022,38.74,124.32,1.7,safe
SNS-zone_01-01,zone_01,2025-08-27T00:00:00Z,17.22,0.027,45.21,127.35,1.2,safe
SNS-zone_02-01,zone_02,2025-08-27T00:00:00Z,23.7,0.042,35.93,139.29,1.2,safe
SNS-zone_03-01,zone_03,2025-08-27T00:00:00Z,15.82,0.016,38.87,112.49,1.2,safe
SNS-zone_04-01,zone_04,2025-08-27T00:00:00Z,19.36,0.031,44.1,133.55,1.2,safe
SNS-zone_05-01,zone_05,2025-08-27T00:00:00Z,18.2,0.026,48.26,143.42,1.2,safe
SNS-zone_06-01,zone_06,2025-08-27T00:00:00Z,74.49,0.169,71.77,484.05,1.2,warning
SNS-zone_07-01,zone_07,2025-08-27T00:00:00Z,68.64,0.142,84.02,496.33,1.2,warning
SNS-zone_08-01,zone_08,2025-08-27T00:00:00Z,67.43,0.154,82.35,465.34,1.2,warning
SNS-zone_09-01,zone_09,2025-08-27T00:00:00Z,9.55,0.016,35.95,106.86,1.2,safe
SNS-zone_10-01,zone_10,2025-08-27T00:00:00Z,69.98,0.153,81.97,486.47,1.2,warning
SNS-zone_11-01,zone_11,2025-08-27T00:00:00Z,158.75,0.487,128.44,1134.17,1.2,evacuation
SNS-zone_12-01,zone_12,2025-08-27T00:00:00Z,156.97,0.485,116.06,1097.46,1.2,evacuation
SNS-zone_13-01,zone_13,2025-08-27T00:00:00Z,9.26,0.016,47.14,121.17,1.2,safe
SNS-zone_14-01,zone_14,2025-08-27T00:00:00Z,15.74,0.024,43.0,131.88,1.2,safe
SNS-zone_15-01,zone_15,2025-08-27T00:00:00Z,11.27,0.023,46.81,116.92,1.2,safe
SNS-zone_16-01,zone_16,2025-08-27T00:00:00Z,14.99,0.023,37.92,125.55,1.2,safe
SNS-zone_01-01,zone_01,2025-08-28T00:00:00Z,16.11,0.032,44.68,127.12,4.9,safe
SNS-zone_02-01,zone_02,2025-08-28T00:00:00Z,18.27,0.028,35.89,129.84,4.9,safe
SNS-zone_03-01,zone_03,2025-08-28T00:00:00Z,16.34,0.023,37.47,109.67,4.9,safe
SNS-zone_04-01,zone_04,2025-08-28T00:00:00Z,20.82,0.022,44.94,140.97,4.9,safe
SNS-zone_05-01,zone_05,2025-08-28T00:00:00Z,17.4,0.032,47.2,138.39,4.9,safe
SNS-zone_06-01,zone_06,2025-08-28T00:00:00Z,71.66,0.164,73.42,470.16,4.9,warning
SNS-zone_07-01,zone_07,2025-08-28T00:00:00Z,65.94,0.142,82.06,482.96,4.9,warning
SNS-zone_08-01,zone_08,2025-08-28T00:00:00Z,64.92,0.157,81.38,458.98,4.9,warning
SNS-zone_09-01,zone_09,2025-08-28T00:00:00Z,9.81,0.021,34.43,99.09,4.9,safe
SNS-zone_10-01,zone_10,2025-08-28T00:00:00Z,69.07,0.161,80.66,480.12,4.9,warning
SNS-zone_11-01,zone_11,2025-08-28T00:00:00Z,155.83,0.502,127.44,1140.2,4.9,evacuation
SNS-zone_12-01,zone_12,2025-08-28T00:00:00Z,160.25,0.48,114.29,1102.72,4.9,evacuation
SNS-zone_13-01,zone_13,2025-08-28T00:00:00Z,9.81,0.026,47.79,115.81,4.9,safe
SNS-zone_14-01,zone_14,2025-08-28T00:00:00Z,12.99,0.021,43.23,128.6,4.9,safe
SNS-zone_15-01,zone_15,2025-08-28T00:00:00Z,9.6,0.025,44.07,105.19,4.9,safe
SNS-zone_16-01,zone_16,2025-08-28T00:00:00Z,12.86,0.027,35.91,104.88,4.9,safe
SNS-zone_01-01,zone_01,2025-08-29T00:00:00Z,14.91,0.019,45.35,132.27,6.7,safe
SNS-zone_02-01,zone_02,2025-08-29T00:00:00Z,21.89,0.025,36.72,134.2,6.7,safe
SNS-zone_03-01,zone_03,2025-08-29T00:00:00Z,17.69,0.028,37.54,124.53,6.7,safe
SNS-zone_04-01,zone_04,2025-08-29T00:00:00Z,22.07,0.034,45.72,142.23,6.7,safe
SNS-zone_05-01,zone_05,2025-08-29T00:00:00Z,17.94,0.022,47.09,138.25,6.7,safe
SNS-zone_06-01,zone_06,2025-08-29T00:00:00Z,74.68,0.17,75.76,496.28,6.7,warning
SNS-zone_07-01,zone_07,2025-08-29T00:00:00Z,66.73,0.155,86.69,478.78,6.7,warning
SNS-zone_08-01,zone_08,2025-08-29T00:00:00Z,69.26,0.165,78.53,488.37,6.7,warning
SNS-zone_09-01,zone_09,2025-08-29T00:00:00Z,10.38,0.013,34.58,112.21,6.7,safe
SNS-zone_10-01,zone_10,2025-08-29T00:00:00Z,65.42,0.161,77.91,446.74,6.7,warning
SNS-zone_11-01,zone_11,2025-08-29T00:00:00Z,156.09,0.456,128.46,1140.44,6.7,evacuation
SNS-zone_12-01,zone_12,2025-08-29T00:00:00Z,155.81,0.444,112.34,1110.68,6.7,evacuation
SNS-zone_13-01,zone_13,2025-08-29T00:00:00Z,11.32,0.02,45.98,125.9,6.7,safe
SNS-zone_14-01,zone_14,2025-08-29T00:00:00Z,16.13,0.024,44.05,126.39,6.7,safe
SNS-zone_15-01,zone_15,2025-08-29T00:00:00Z,13.8,0.024,45.53,129.91,6.7,safe
SNS-zone_16-01,zone_16,2025-08-29T00:00:00Z,15.65,0.022,36.35,129.71,6.7,safe
SNS-zone_01-01,zone_01,2025-08-30T00:00:00Z,14.14,0.024,46.13,120.6,9.7,safe
SNS-zone_02-01,zone_02,2025-08-30T00:00:00Z,19.88,0.031,35.33,126.17,9.7,safe
SNS-zone_03-01,zone_03,2025-08-30T00:00:00Z,12.92,0.023,38.71,120.98,9.7,safe
SNS-zone_04-01,zone_04,2025-08-30T00:00:00Z,23.46,0.03,44.34,146.72,9.7,safe
SNS-zone_05-01,zone_05,2025-08-30T00:00:00Z,15.95,0.026,48.48,124.73,9.7,safe
SNS-zone_06-01,zone_06,2025-08-30T00:00:00Z,74.9,0.175,72.47,482.59,9.7,warning
SNS-zone_07-01,zone_07,2025-08-30T00:00:00Z,69.9,0.164,83.76,476.06,9.7,warning
SNS-zone_08-01,zone_08,2025-08-30T00:00:00Z,65.49,0.166,83.17,477.61,9.7,warning
SNS-zone_09-01,zone_09,2025-08-30T00:00:00Z,8.25,0.013,34.83,93.92,9.7,safe
SNS-zone_10-01,zone_10,2025-08-30T00:00:00Z,71.74,0.147,82.91,491.11,9.7,warning
SNS-zone_11-01,zone_11,2025-08-30T00:00:00Z,157.56,0.475,129.81,1117.01,9.7,evacuation
SNS-zone_12-01,zone_12,2025-08-30T00:00:00Z,158.12,0.463,112.2,1069.1,9.7,evacuation
SNS-zone_13-01,zone_13,2025-08-30T00:00:00Z,7.98,0.017,47.62,114.5,9.7,safe
SNS-zone_14-01,zone_14,2025-08-30T00:00:00Z,13.65,0.02,45.63,136.3,9.7,safe
SNS-zone_15-01,zone_15,2025-08-30T00:00:00Z,9.29,0.018,45.71,118.75,9.7,safe
SNS-zone_16-01,zone_16,2025-08-30T00:00:00Z,15.15,0.031,36.67,120.14,9.7,safe
SNS-zone_01-01,zone_01,2025-08-31T00:00:00Z,16.08,0.024,45.64,130.44,1.3,safe
SNS-zone_02-01,zone_02,2025-08-31T00:00:00Z,21.16,0.031,36.71,127.27,1.3,safe
SNS-zone_03-01,zone_03,2025-08-31T00:00:00Z,20.9,0.036,38.35,123.9,1.3,safe
SNS-zone_04-01,zone_04,2025-08-31T00:00:00Z,21.01,0.025,44.45,146.78,1.3,safe
SNS-zone_05-01,zone_05,2025-08-31T00:00:00Z,17.68,0.022,46.66,135.47,1.3,safe
SNS-zone_06-01,zone_06,2025-08-31T00:00:00Z,75.22,0.163,73.65,495.86,1.3,warning
SNS-zone_07-01,zone_07,2025-08-31T00:00:00Z,63.45,0.154,80.95,483.59,1.3,warning
SNS-zone_08-01,zone_08,2025-08-31T00:00:00Z,63.49,0.15,79.2,447.09,1.3,warning
SNS-zone_09-01,zone_09,2025-08-31T00:00:00Z,9.59,0.022,37.41,118.09,1.3,safe
SNS-zone_10-01,zone_10,2025-08-31T00:00:00Z,68.07,0.157,76.92,471.68,1.3,warning
SNS-zone_11-01,zone_11,2025-08-31T00:00:00Z,156.9,0.469,122.95,1116.96,1.3,evacuation
SNS-zone_12-01,zone_12,2025-08-31T00:00:00Z,156.95,0.495,110.94,1115.29,1.3,evacuation
SNS-zone_13-01,zone_13,2025-08-31T00:00:00Z,10.98,0.017,48.61,123.77,1.3,safe
SNS-zone_14-01,zone_14,2025-08-31T00:00:00Z,15.07,0.016,41.26,135.46,1.3,safe
SNS-zone_15-01,zone_15,2025-08-31T00:00:00Z,7.92,0.025,43.49,106.13,1.3,safe
SNS-zone_16-01,zone_16,2025-08-31T00:00:00Z,15.84,0.024,38.18,130.27,1.3,safe
SNS-zone_01-01,zone_01,2025-09-01T00:00:00Z,14.91,0.028,43.13,123.62,7.1,safe
SNS-zone_02-01,zone_02,2025-09-01T00:00:00Z,19.73,0.028,36.26,128.99,7.1,safe
SNS-zone_03-01,zone_03,2025-09-01T00:00:00Z,15.58,0.023,37.5,121.55,7.1,safe
SNS-zone_04-01,zone_04,2025-09-01T00:00:00Z,22.81,0.035,43.72,140.92,7.1,safe
SNS-zone_05-01,zone_05,2025-09-01T00:00:00Z,15.63,0.019,47.24,138.58,7.1,safe
SNS-zone_06-01,zone_06,2025-09-01T00:00:00Z,72.67,0.163,70.72,477.92,7.1,warning
SNS-zone_07-01,zone_07,2025-09-01T00:00:00Z,68.45,0.173,83.13,468.36,7.1,warning
SNS-zone_08-01,zone_08,2025-09-01T00:00:00Z,66.65,0.152,80.5,475.29,7.1,warning
SNS-zone_09-01,zone_09,2025-09-01T00:00:00Z,8.22,0.019,33.72,104.74,7.1,safe
SNS-zone_10-01,zone_10,2025-09-01T00:00:00Z,67.93,0.153,79.78,474.9,7.1,warning
SNS-zone_11-01,zone_11,2025-09-01T00:00:00Z,156.54,0.473,124.92,1128.24,7.1,evacuation
SNS-zone_12-01,zone_12,2025-09-01T00:00:00Z,158.17,0.448,111.08,1102.33,7.1,evacuation
SNS-zone_13-01,zone_13,2025-09-01T00:00:00Z,7.85,0.012,46.58,108.7,7.1,safe
SNS-zone_14-01,zone_14,2025-09-01T00:00:00Z,15.65,0.026,42.69,127.28,7.1,safe
SNS-zone_15-01,zone_15,2025-09-01T00:00:00Z,10.59,0.018,47.92,121.97,7.1,safe
SNS-zone_16-01,zone_16,2025-09-01T00:00:00Z,14.52,0.028,36.8,112.29,7.1,safe
SNS-zone_01-01,zone_01,2025-09-02T00:00:00Z,16.88,0.024,48.5,137.25,23.6,safe
SNS-zone_02-01,zone_02,2025-09-02T00:00:00Z,23.29,0.033,36.33,136.96,23.6,safe
SNS-zone_03-01,zone_03,2025-09-02T00:00:00Z,18.78,0.03,39.41,123.14,23.6,safe
SNS-zone_04-01,zone_04,2025-09-02T00:00:00Z,22.33,0.026,50.08,152.6,23.6,safe
SNS-zone_05-01,zone_05,2025-09-02T00:00:00Z,18.1,0.025,50.81,143.48,23.6,safe
SNS-zone_06-01,zone_06,2025-09-02T00:00:00Z,75.51,0.176,78.87,494.31,23.6,warning
SNS-zone_07-01,zone_07,2025-09-02T00:00:00Z,69.1,0.165,85.67,481.17,23.6,warning
SNS-zone_08-01,zone_08,2025-09-02T00:00:00Z,66.42,0.153,80.98,468.81,23.6,warning
SNS-zone_09-01,zone_09,2025-09-02T00:00:00Z,8.94,0.018,36.87,122.98,23.6,safe
SNS-zone_10-01,zone_10,2025-09-02T00:00:00Z,72.41,0.16,88.35,486.97,23.6,warning
SNS-zone_11-01,zone_11,2025-09-02T00:00:00Z,166.84,0.522,143.48,1198.14,23.6,evacuation
SNS-zone_12-01,zone_12,2025-09-02T00:00:00Z,165.39,0.504,119.96,1152.86,23.6,evacuation
SNS-zone_13-01,zone_13,2025-09-02T00:00:00Z,10.58,0.023,52.56,121.66,23.6,safe
SNS-zone_14-01,zone_14,2025-09-02T00:00:00Z,15.31,0.02,45.79,128.72,23.6,safe
SNS-zone_15-01,zone_15,2025-09-02T00:00:00Z,14.19,0.019,47.87,138.46,23.6,safe
SNS-zone_16-01,zone_16,2025-09-02T00:00:00Z,16.22,0.019,40.24,125.91,23.6,safe
SNS-zone_01-01,zone_01,2025-09-03T00:00:00Z,23.13,0.035,49.7,155.74,22.6,safe
SNS-zone_02-01,zone_02,2025-09-03T00:00:00Z,22.94,0.03,38.08,142.15,22.6,safe
SNS-zone_03-01,zone_03,2025-09-03T00:00:00Z,18.98,0.032,41.31,130.81,22.6,safe
SNS-zone_04-01,zone_04,2025-09-03T00:00:00Z,24.51,0.03,51.54,157.82,22.6,safe
SNS-zone_05-01,zone_05,2025-09-03T00:00:00Z,22.6,0.033,53.28,153.15,22.6,safe
SNS-zone_06-01,zone_06,2025-09-03T00:00:00Z,85.7,0.172,78.49,519.74,22.6,warning
SNS-zone_07-01,zone_07,2025-09-03T00:00:00Z,74.72,0.162,96.8,514.97,22.6,warning
SNS-zone_08-01,zone_08,2025-09-03T00:00:00Z,75.2,0.169,89.85,508.34,22.6,warning
SNS-zone_09-01,zone_09,2025-09-03T00:00:00Z,13.22,0.023,39.42,117.28,22.6,safe
SNS-zone_10-01,zone_10,2025-09-03T00:00:00Z,80.23,0.177,91.64,523.44,22.6,warning
SNS-zone_11-01,zone_11,2025-09-03T00:00:00Z,169.64,0.51,150.49,1235.57,22.6,evacuation
SNS-zone_12-01,zone_12,2025-09-03T00:00:00Z,173.88,0.537,131.45,1216.76,22.6,evacuation
SNS-zone_13-01,zone_13,2025-09-03T00:00:00Z,10.0,0.026,50.77,118.76,22.6,safe
SNS-zone_14-01,zone_14,2025-09-03T00:00:00Z,16.6,0.026,49.49,133.65,22.6,safe
SNS-zone_15-01,zone_15,2025-09-03T00:00:00Z,12.86,0.027,51.72,127.91,22.6,safe
SNS-zone_16-01,zone_16,2025-09-03T00:00:00Z,17.64,0.025,40.83,126.98,22.6,safe
SNS-zone_01-01,zone_01,2025-09-04T00:00:00Z,27.95,0.04,55.1,168.24,42.0,safe
SNS-zone_02-01,zone_02,2025-09-04T00:00:00Z,25.94,0.038,45.52,153.7,42.0,safe
SNS-zone_03-01,zone_03,2025-09-04T00:00:00Z,26.71,0.038,45.12,150.22,42.0,safe
SNS-zone_04-01,zone_04,2025-09-04T00:00:00Z,27.91,0.034,54.61,155.69,42.0,safe
SNS-zone_05-01,zone_05,2025-09-04T00:00:00Z,23.04,0.03,59.31,160.54,42.0,safe
SNS-zone_06-01,zone_06,2025-09-04T00:00:00Z,86.38,0.197,93.19,542.37,42.0,warning
SNS-zone_07-01,zone_07,2025-09-04T00:00:00Z,86.46,0.202,108.05,568.08,42.0,warning
SNS-zone_08-01,zone_08,2025-09-04T00:00:00Z,76.47,0.173,97.95,514.84,42.0,warning
SNS-zone_09-01,zone_09,2025-09-04T00:00:00Z,17.1,0.025,46.53,128.34,42.0,safe
SNS-zone_10-01,zone_10,2025-09-04T00:00:00Z,89.51,0.193,103.13,559.47,42.0,warning
SNS-zone_11-01,zone_11,2025-09-04T00:00:00Z,184.23,0.524,173.6,1313.66,42.0,evacuation
SNS-zone_12-01,zone_12,2025-09-04T00:00:00Z,183.16,0.554,159.75,1297.14,42.0,evacuation
SNS-zone_13-01,zone_13,2025-09-04T00:00:00Z,11.49,0.019,56.81,138.15,42.0,safe
SNS-zone_14-01,zone_14,2025-09-04T00:00:00Z,19.07,0.023,54.02,157.57,42.0,safe
SNS-zone_15-01,zone_15,2025-09-04T00:00:00Z,17.47,0.025,56.78,148.86,42.0,safe
SNS-zone_16-01,zone_16,2025-09-04T00:00:00Z,18.27,0.02,47.41,132.75,42.0,safe
SNS-zone_01-01,zone_01,2025-09-05T00:00:00Z,25.11,0.028,52.8,152.5,2.6,safe
SNS-zone_02-01,zone_02,2025-09-05T00:00:00Z,22.46,0.036,39.64,131.42,2.6,safe
SNS-zone_03-01,zone_03,2025-09-05T00:00:00Z,26.26,0.037,44.65,151.54,2.6,safe
SNS-zone_04-01,zone_04,2025-09-05T00:00:00Z,26.0,0.038,54.82,171.76,2.6,safe
SNS-zone_05-01,zone_05,2025-09-05T00:00:00Z,23.16,0.025,58.02,160.0,2.6,safe
SNS-zone_06-01,zone_06,2025-09-05T00:00:00Z,84.16,0.184,89.02,534.99,2.6,warning
SNS-zone_07-01,zone_07,2025-09-05T00:00:00Z,81.73,0.191,102.32,539.6,2.6,warning
SNS-zone_08-01,zone_08,2025-09-05T00:00:00Z,73.79,0.171,94.5,513.13,2.6,warning
SNS-zone_09-01,zone_09,2025-09-05T00:00:00Z,17.35,0.026,41.9,135.93,2.6,safe
SNS-zone_10-01,zone_10,2025-09-05T00:00:00Z,84.03,0.171,101.64,534.39,2.6,warning
SNS-zone_11-01,zone_11,2025-09-05T00:00:00Z,175.98,0.529,170.62,1277.91,2.6,evacuation
SNS-zone_12-01,zone_12,2025-09-05T00:00:00Z,179.22,0.53,147.03,1245.37,2.6,evacuation
SNS-zone_13-01,zone_13,2025-09-05T00:00:00Z,12.97,0.024,52.49,133.62,2.6,safe
SNS-zone_14-01,zone_14,2025-09-05T00:00:00Z,18.41,0.022,54.49,141.97,2.6,safe
SNS-zone_15-01,zone_15,2025-09-05T00:00:00Z,15.41,0.018,56.23,146.23,2.6,safe
SNS-zone_16-01,zone_16,2025-09-05T00:00:00Z,19.16,0.027,44.66,128.6,2.6,safe
SNS-zone_01-01,zone_01,2025-09-06T00:00:00Z,25.66,0.038,52.76,158.85,6.1,safe
SNS-zone_02-01,zone_02,2025-09-06T00:00:00Z,28.1,0.036,39.46,148.46,6.1,safe
SNS-zone_03-01,zone_03,2025-09-06T00:00:00Z,23.87,0.035,42.82,141.74,6.1,safe
SNS-zone_04-01,zone_04,2025-09-06T00:00:00Z,24.92,0.027,51.21,155.79,6.1,safe
SNS-zone_05-01,zone_05,2025-09-06T00:00:00Z,21.95,0.027,57.67,159.44,6.1,safe
SNS-zone_06-01,zone_06,2025-09-06T00:00:00Z,78.04,0.176,87.83,513.83,6.1,warning
SNS-zone_07-01,zone_07,2025-09-06T00:00:00Z,77.83,0.182,101.51,527.17,6.1,warning
SNS-zone_08-01,zone_08,2025-09-06T00:00:00Z,73.17,0.158,87.75,493.6,6.1,warning
SNS-zone_09-01,zone_09,2025-09-06T00:00:00Z,12.17,0.023,39.45,116.31,6.1,safe
SNS-zone_10-01,zone_10,2025-09-06T00:00:00Z,76.94,0.174,95.14,524.3,6.1,warning
SNS-zone_11-01,zone_11,2025-09-06T00:00:00Z,171.0,0.53,156.29,1218.47,6.1,evacuation
SNS-zone_12-01,zone_12,2025-09-06T00:00:00Z,177.17,0.546,138.85,1219.43,6.1,evacuation
SNS-zone_13-01,zone_13,2025-09-06T00:00:00Z,11.17,0.017,55.47,130.26,6.1,safe
SNS-zone_14-01,zone_14,2025-09-06T00:00:00Z,19.87,0.028,51.23,142.99,6.1,safe
SNS-zone_15-01,zone_15,2025-09-06T00:00:00Z,14.16,0.019,52.89,120.69,6.1,safe
