zone_id,date,slope,aspect,curvature,vv_backscatter,vh_backscatter,rainfall_mm
zone_08,2025-09-15,14.8115,203.6419,-0.03519,-8.6786,-16.2097,12.3
zone_09,2025-09-15,3.128,105.5919,0.0005,-10.3233,-19.1072,12.3
zone_10,2025-09-15,12.0184,229.9116,-0.03979,-10.2692,-18.6278,12.3
zone_11,2025-09-15,16.242,337.329,-0.00185,-10.7535,-18.9755,12.3
zone_12,2025-09-15,12.406,314.2971,-0.067788,-10.7273,-20.0406,12.3
zone_13,2025-09-15,1.2123,82.5197,-0.004406,-9.5518,-18.1,12.3
zone_14,2025-09-15,5.6308,229.9163,0.01853,-10.9903,-19.4499,12.3
zone_15,2025-09-15,3.3809,260.4495,-0.012809,-11.0912,-19.6845,12.3
zone_16,2025-09-15,1.1964,158.6191,0.009475,-12.9746,-20.5681,12.3
zone_01,2025-09-27,4.805,111.1703,0.047333,-6.6584,-14.8086,20.0
zone_02,2025-09-27,5.3165,195.2216,0.02904,-7.5678,-16.2409,20.0
zone_03,2025-09-27,10.2624,195.2096,-0.046989,-8.3223,-16.4379,20.0
zone_04,2025-09-27,10.7567,15.7899,0.000708,-7.6146,-13.4741,20.0
zone_05,2025-09-27,0.8126,146.9745,0.007313,-9.9243,-18.0653,20.0
zone_06,2025-09-27,11.1678,165.702,-0.030888,-8.3732,-16.3058,20.0
zone_07,2025-09-27,11.5147,169.6676,-0.005945,-10.2942,-18.7516,20.0
zone_08,2025-09-27,14.8115,203.6419,-0.03519,-7.5371,-14.85,20.0
zone_09,2025-09-27,3.128,105.5919,0.0005,-8.8891,-16.9777,20.0
zone_10,2025-09-27,12.0184,229.9116,-0.03979,-9.0969,-17.1903,20.0
zone_11,2025-09-27,16.242,337.329,-0.00185,-9.7577,-16.98,20.0
zone_12,2025-09-27,12.406,314.2971,-0.067788,-9.5038,-18.0979,20.0
zone_13,2025-09-27,1.2123,82.5197,-0.004406,-8.4686,-16.7008,20.0
zone_14,2025-09-27,5.6308,229.9163,0.01853,-9.9418,-17.9111,20.0
zone_15,2025-09-27,3.3809,260.4495,-0.012809,-10.5194,-18.3945,20.0
zone_16,2025-09-27,1.1964,158.6191,0.009475,-12.429,-19.5918,20.0
zone_01,2025-10-09,4.805,111.1703,0.047333,-7.7007,-15.5581,0.4
zone_02,2025-10-09,5.3165,195.2216,0.02904,-8.5662,-17.0955,0.4
zone_03,2025-10-09,10.2624,195.2096,-0.046989,-8.4239,-16.5203,0.4
zone_04,2025-10-09,10.7567,15.7899,0.000708,-8.3154,-14.2567,0.4
zone_05,2025-10-09,0.8126,146.9745,0.007313,-10.6381,-19.0877,0.4
zone_06,2025-10-09,11.1678,165.702,-0.030888,-9.3674,-17.4075,0.4
zone_07,2025-10-09,11.5147,169.6676,-0.005945,-11.3048,-19.6525,0.4
zone_08,2025-10-09,14.8115,203.6419,-0.03519,-8.5076,-15.9382,0.4
zone_09,2025-10-09,3.128,105.5919,0.0005,-10.142,-18.699,0.4
zone_10,2025-10-09,12.0184,229.9116,-0.03979,-10.0814,-18.3147,0.4
zone_11,2025-10-09,16.242,337.329,-0.00185,-10.8665,-18.9478,0.4
zone_12,2025-10-09,12.406,314.2971,-0.067788,-10.3393,-19.5651,0.4
zone_13,2025-10-09,1.2123,82.5197,-0.004406,-9.4226,-17.9224,0.4
zone_14,2025-10-09,5.6308,229.9163,0.01853,-10.6226,-19.0175,0.4
zone_15,2025-10-09,3.3809,260.4495,-0.012809,-11.0728,-19.2819,0.4
zone_16,2025-10-09,1.1964,158.6191,0.009475,-13.0067,-20.3601,0.4
zone_01,2025-10-21,4.805,111.1703,0.047333,-8.7526,-16.5033,0.0
zone_02,2025-10-21,5.3165,195.2216,0.02904,-9.8141,-18.1147,0.0
zone_03,2025-10-21,10.2624,195.2096,-0.046989,-9.4524,-17.7239,0.0
zone_04,2025-10-21,10.7567,15.7899,0.000708,-8.4444,-14.7959,0.0
zone_05,2025-10-21,0.8126,146.9745,0.007313,-12.2687,-21.0171,0.0
zone_06,2025-10-21,11.1678,165.702,-0.030888,-10.826,-18.7764,0.0
zone_07,2025-10-21,11.5147,169.6676,-0.005945,-12.3969,-20.7911,0.0
zone_08,2025-10-21,14.8115,203.6419,-0.03519,-8.8826,-16.114,0.0
zone_09,2025-10-21,3.128,105.5919,0.0005,-11.7696,-20.6714,0.0
zone_10,2025-10-21,12.0184,229.9116,-0.03979,-11.4632,-19.6124,0.0
zone_11,2025-10-21,16.242,337.329,-0.00185,-11.5861,-19.8854,0.0
zone_12,2025-10-21,12.406,314.2971,-0.067788,-11.3406,-20.9044,0.0
zone_13,2025-10-21,1.2123,82.5197,-0.004406,-11.1108,-19.3705,0.0
zone_14,2025-10-21,5.6308,229.9163,0.01853,-11.6991,-20.4019,0.0
zone_15,2025-10-21,3.3809,260.4495,-0.012809,-12.0792,-20.6381,0.0
zone_16,2025-10-21,1.1964,158.6191,0.009475,-13.5374,-21.0429,0.0
zone_01,2025-11-02,4.805,111.1703,0.047333,-8.5504,-16.3942,0.0
zone_02,2025-11-02,5.3165,195.2216,0.02904,-9.4382,-17.8252,0.0
zone_03,2025-11-02,10.2624,195.2096,-0.046989,-9.1579,-17.6768,0.0
zone_04,2025-11-02,10.7567,15.7899,0.000708,-8.4391,-14.5175,0.0
zone_05,2025-11-02,0.8126,146.9745,0.007313,-12.3941,-20.9814,0.0
zone_06,2025-11-02,11.1678,165.702,-0.030888,-10.7331,-18.8313,0.0
zone_07,2025-11-02,11.5147,169.6676,-0.005945,-12.4508,-20.8562,0.0
zone_08,2025-11-02,14.8115,203.6419,-0.03519,-9.0187,-15.9299,0.0
zone_09,2025-11-02,3.128,105.5919,0.0005,-11.4733,-20.3047,0.0
zone_10,2025-11-02,12.0184,229.9116,-0.03979,-11.4624,-19.6177,0.0
zone_11,2025-11-02,16.242,337.329,-0.00185,-11.921,-20.3041,0.0
zone_12,2025-11-02,12.406,314.2971,-0.067788,-11.3582,-21.0715,0.0
zone_13,2025-11-02,1.2123,82.5197,-0.004406,-11.0681,-19.743,0.0
zone_14,2025-11-02,5.6308,229.9163,0.01853,-11.6541,-20.3428,0.0
zone_15,2025-11-02,3.3809,260.4495,-0.012809,-12.1265,-20.6431,0.0
zone_16,2025-11-02,1.1964,158.6191,0.009475,-13.6033,-21.0524,0.0
zone_01,2025-11-14,4.805,111.1703,0.047333,-8.9989,-16.7082,0.0
zone_02,2025-11-14,5.3165,195.2216,0.02904,-10.4494,-18.8997,0.0
zone_03,2025-11-14,10.2624,195.2096,-0.046989,-9.7603,-18.7805,0.0
zone_04,2025-11-14,10.7567,15.7899,0.000708,-8.7966,-14.9166,0.0
zone_05,2025-11-14,0.8126,146.9745,0.007313,-13.1293,-21.9591,0.0
zone_06,2025-11-14,11.1678,165.702,-0.030888,-11.5934,-19.6504,0.0
zone_07,2025-11-14,11.5147,169.6676,-0.005945,-13.1274,-21.7968,0.0
zone_08,2025-11-14,14.8115,203.6419,-0.03519,-9.6105,-16.8117,0.0
zone_09,2025-11-14,3.128,105.5919,0.0005,-12.1491,-21.2911,0.0
zone_10,2025-11-14,12.0184,229.9116,-0.03979,-11.9992,-20.1484,0.0
zone_11,2025-11-14,16.242,337.329,-0.00185,-12.4913,-20.8701,0.0
zone_12,2025-11-14,12.406,314.2971,-0.067788,-12.0562,-21.6162,0.0
zone_13,2025-11-14,1.2123,82.5197,-0.004406,-11.8615,-20.6353,0.0
zone_14,2025-11-14,5.6308,229.9163,0.01853,-12.4181,-20.6353,0.0
zone_15,2025-11-14,3.3809,260.4495,-0.012809,-13.0839,-21.7927,0.0
zone_16,2025-11-14,1.1964,158.6191,0.009475,-14.153,-21.6669,0.0
zone_01,2025-11-26,4.805,111.1703,0.047333,-9.0199,-16.7407,0.0
zone_02,2025-11-26,5.3165,195.2216,0.02904,-10.1068,-18.5391,0.0
zone_03,2025-11-26,10.2624,195.2096,-0.046989,-9.7665,-18.1139,0.0
zone_04,2025-11-26,10.7567,15.7899,0.000708,-8.764,-14.8974,0.0
zone_05,2025-11-26,0.8126,146.9745,0.007313,-13.0385,-21.9947,0.0
zone_06,2025-11-26,11.1678,165.702,-0.030888,-11.5813,-19.5334,0.0
zone_07,2025-11-26,11.5147,169.6676,-0.005945,-13.0752,-21.8398,0.0
zone_08,2025-11-26,14.8115,203.6419,-0.03519,-9.3268,-16.7775,0.0
zone_09,2025-11-26,3.128,105.5919,0.0005,-11.9781,-21.3888,0.0
zone_10,2025-11-26,12.0184,229.9116,-0.03979,-11.6481,-19.7693,0.0
zone_11,2025-11-26,16.242,337.329,-0.00185,-12.6463,-21.0751,0.0
zone_12,2025-11-26,12.406,314.2971,-0.067788,-12.0157,-21.3928,0.0
zone_13,2025-11-26,1.2123,82.5197,-0.004406,-11.8491,-20.8498,0.0
zone_14,2025-11-26,5.6308,229.9163,0.01853,-12.0668,-20.8951,0.0
zone_15,2025-11-26,3.3809,260.4495,-0.012809,-12.4901,-21.4799,0.0
zone_16,2025-11-26,1.1964,158.6191,0.009475,-14.3184,-21.9083,0.0
zone_01,2025-12-08,4.805,111.1703,0.047333,-9.0591,-16.825,0.0
zone_02,2025-12-08,5.3165,195.2216,0.02904,-10.1794,-18.5394,0.0
zone_03,2025-12-08,10.2624,195.2096,-0.046989,-9.872,-18.5233,0.0
zone_04,2025-12-08,10.7567,15.7899,0.000708,-8.9754,-14.977,0.0
zone_05,2025-12-08,0.8126,146.9745,0.007313,-13.0226,-22.1352,0.0
zone_06,2025-12-08,11.1678,165.702,-0.030888,-11.4079,-19.6856,0.0
zone_07,2025-12-08,11.5147,169.6676,-0.005945,-13.4933,-22.1504,0.0
zone_08,2025-12-08,14.8115,203.6419,-0.03519,-9.6355,-16.9126,0.0
zone_09,2025-12-08,3.128,105.5919,0.0005,-12.3339,-21.734,0.0
zone_10,2025-12-08,12.0184,229.9116,-0.03979,-11.8131,-19.7546,0.0
zone_11,2025-12-08,16.242,337.329,-0.00185,-12.6431,-21.4357,0.0
zone_12,2025-12-08,12.406,314.2971,-0.067788,-11.6903,-21.3838,0.0
zone_13,2025-12-08,1.2123,82.5197,-0.004406,-11.9993,-21.3434,0.0
zone_14,2025-12-08,5.6308,229.9163,0.01853,-12.0208,-20.8172,0.0
zone_15,2025-12-08,3.3809,260.4495,-0.012809,-12.6644,-21.5931,0.0
zone_16,2025-12-08,1.1964,158.6191,0.009475,-14.4576,-22.3446,0.0
zone_01,2025-12-20,4.805,111.1703,0.047333,-9.2298,-17.0051,0.0
zone_02,2025-12-20,5.3165,195.2216,0.02904,-9.8718,-18.4551,0.0
zone_03,2025-12-20,10.2624,195.2096,-0.046989,-9.9434,-18.9112,0.0
zone_04,2025-12-20,10.7567,15.7899,0.000708,-9.0982,-15.1189,0.0
zone_05,2025-12-20,0.8126,146.9745,0.007313,-13.1263,-22.5473,0.0
zone_06,2025-12-20,11.1678,165.702,-0.030888,-11.4222,-19.7029,0.0
zone_07,2025-12-20,11.5147,169.6676,-0.005945,-13.1898,-22.234,0.0
zone_08,2025-12-20,14.8115,203.6419,-0.03519,-9.7687,-16.9378,0.0
zone_09,2025-12-20,3.128,105.5919,0.0005,-12.2823,-21.5866,0.0
zone_10,2025-12-20,12.0184,229.9116,-0.03979,-11.793,-20.0557,0.0
zone_11,2025-12-20,16.242,337.329,-0.00185,-12.8979,-21.6986,0.0
zone_12,2025-12-20,12.406,314.2971,-0.067788,-11.3814,-21.21,0.0
zone_13,2025-12-20,1.2123,82.5197,-0.004406,-11.7061,-21.142,0.0
zone_14,2025-12-20,5.6308,229.9163,0.01853,-11.792,-20.8026,0.0
zone_15,2025-12-20,3.3809,260.4495,-0.012809,-12.9354,-21.9836,0.0
zone_16,2025-12-20,1.1964,158.6191,0.009475,-14.2473,-22.2312,0.0
zone_01,2026-01-01,4.805,111.1703,0.047333,-9.3422,-17.1578,0.0
zone_02,2026-01-01,5.3165,195.2216,0.02904,-10.0246,-18.4763,0.0
zone_03,2026-01-01,10.2624,195.2096,-0.046989,-9.2638,-18.2535,0.0
zone_04,2026-01-01,10.7567,15.7899,0.000708,-9.4992,-15.5569,0.0
zone_05,2026-01-01,0.8126,146.9745,0.007313,-13.3543,-22.3049,0.0
zone_06,2026-01-01,11.1678,165.702,-0.030888,-11.6166,-19.8563,0.0
zone_07,2026-01-01,11.5147,169.6676,-0.005945,-13.4918,-22.2189,0.0
zone_08,2026-01-01,14.8115,203.6419,-0.03519,-9.8528,-17.1816,0.0
zone_09,2026-01-01,3.128,105.5919,0.0005,-12.5654,-21.7737,0.0
zone_10,2026-01-01,12.0184,229.9116,-0.03979,-11.9659,-20.2196,0.0
zone_11,2026-01-01,16.242,337.329,-0.00185,-12.9162,-21.522,0.0
zone_12,2026-01-01,12.406,314.2971,-0.067788,-11.9673,-21.5458,0.0
zone_13,2026-01-01,1.2123,82.5197,-0.004406,-11.73,-21.236,0.0
zone_14,2026-01-01,5.6308,229.9163,0.01853,-12.3835,-21.008,0.0
zone_15,2026-01-01,3.3809,260.4495,-0.012809,-13.1794,-22.331,0.0
zone_16,2026-01-01,1.1964,158.6191,0.009475,-14.4881,-22.6306,0.0
zone_01,2026-01-13,4.805,111.1703,0.047333,-9.2089,-17.0633,0.0
zone_02,2026-01-13,5.3165,195.2216,0.02904,-9.8987,-18.432,0.0
zone_03,2026-01-13,10.2624,195.2096,-0.046989,-9.8871,-18.7113,0.0
zone_04,2026-01-13,10.7567,15.7899,0.000708,-9.3331,-15.4494,0.0
zone_05,2026-01-13,0.8126,146.9745,0.007313,-13.1489,-22.2813,0.0
zone_06,2026-01-13,11.1678,165.702,-0.030888,-11.6463,-19.8673,0.0
zone_07,2026-01-13,11.5147,169.6676,-0.005945,-13.2345,-22.2186,0.0
zone_08,2026-01-13,14.8115,203.6419,-0.03519,-9.8245,-17.1693,0.0
zone_09,2026-01-13,3.128,105.5919,0.0005,-12.2641,-21.411,0.0
zone_10,2026-01-13,12.0184,229.9116,-0.03979,-11.8758,-20.1008,0.0
zone_11,2026-01-13,16.242,337.329,-0.00185,-12.7936,-21.2774,0.0
zone_12,2026-01-13,12.406,314.2971,-0.067788,-11.7559,-21.3442,0.0
zone_13,2026-01-13,1.2123,82.5197,-0.004406,-11.6013,-21.0636,0.0
zone_14,2026-01-13,5.6308,229.9163,0.01853,-12.1821,-20.6709,0.0
zone_15,2026-01-13,3.3809,260.4495,-0.012809,-13.2421,-22.0344,0.0
zone_16,2026-01-13,1.1964,158.6191,0.009475,-14.472,-22.531,0.0
zone_01,2026-01-25,4.805,111.1703,0.047333,-9.1965,-17.1265,0.0
zone_02,2026-01-25,5.3165,195.2216,0.02904,-9.5585,-18.1062,0.0
zone_03,2026-01-25,10.2624,195.2096,-0.046989,-9.2768,-18.2867,0.0
zone_04,2026-01-25,10.7567,15.7899,0.000708,-9.2067,-15.1177,0.0
zone_05,2026-01-25,0.8126,146.9745,0.007313,-13.2406,-22.1078,0.0
zone_06,2026-01-25,11.1678,165.702,-0.030888,-11.4889,-19.6089,0.0
zone_07,2026-01-25,11.5147,169.6676,-0.005945,-13.0924,-22.1532,0.0
zone_08,2026-01-25,14.8115,203.6419,-0.03519,-9.8359,-16.9624,0.0
zone_09,2026-01-25,3.128,105.5919,0.0005,-12.4393,-21.4208,0.0
zone_10,2026-01-25,12.0184,229.9116,-0.03979,-11.821,-19.8918,0.0
zone_11,2026-01-25,16.242,337.329,-0.00185,-13.024,-21.5338,0.0
zone_12,2026-01-25,12.406,314.2971,-0.067788,-11.7266,-21.4139,0.0
zone_13,2026-01-25,1.2123,82.5197,-0.004406,-11.6295,-21.0822,0.0
zone_14,2026-01-25,5.6308,229.9163,0.01853,-12.1611,-20.7438,0.0
zone_15,2026-01-25,3.3809,260.4495,-0.012809,-13.0819,-21.8154,0.0
zone_16,2026-01-25,1.1964,158.6191,0.009475,-14.5333,-22.3002,0.0
zone_01,2026-02-06,4.805,111.1703,0.047333,-9.2466,-17.1716,0.0
zone_02,2026-02-06,5.3165,195.2216,0.02904,-9.7371,-18.1372,0.0
zone_03,2026-02-06,10.2624,195.2096,-0.046989,-9.7668,-18.5091,0.0
zone_04,2026-02-06,10.7567,15.7899,0.000708,-9.1316,-15.0685,0.0
zone_05,2026-02-06,0.8126,146.9745,0.007313,-13.0567,-22.4204,0.0
zone_06,2026-02-06,11.1678,165.702,-0.030888,-11.5425,-19.5842,0.0
zone_07,2026-02-06,11.5147,169.6676,-0.005945,-13.1659,-22.1576,0.0
zone_08,2026-02-06,14.8115,203.6419,-0.03519,-9.6773,-16.9793,0.0
zone_09,2026-02-06,3.128,105.5919,0.0005,-12.2219,-21.4148,0.0
zone_10,2026-02-06,12.0184,229.9116,-0.03979,-11.9444,-19.9165,0.0
zone_11,2026-02-06,16.242,337.329,-0.00185,-12.9883,-21.2717,0.0
zone_12,2026-02-06,12.406,314.2971,-0.067788,-11.9289,-21.5892,0.0
zone_13,2026-02-06,1.2123,82.5197,-0.004406,-11.5994,-20.9214,0.0
zone_14,2026-02-06,5.6308,229.9163,0.01853,-12.172,-20.7795,0.0
zone_15,2026-02-06,3.3809,260.4495,-0.012809,-13.0062,-21.7198,0.0
zone_16,2026-02-06,1.1964,158.6191,0.009475,-14.5655,-22.4543,0.0
zone_01,2026-02-18,4.805,111.1703,0.047333,-9.2836,-17.401,0.0
zone_02,2026-02-18,5.3165,195.2216,0.02904,-9.967,-18.2325,0.0
zone_03,2026-02-18,10.2624,195.2096,-0.046989,-9.9641,-18.6273,0.0
zone_04,2026-02-18,10.7567,15.7899,0.000708,-9.182,-15.2148,0.0
zone_05,2026-02-18,0.8126,146.9745,0.007313,-13.0423,-21.9691,0.0
zone_06,2026-02-18,11.1678,165.702,-0.030888,-11.5598,-19.6891,0.0
zone_07,2026-02-18,11.5147,169.6676,-0.005945,-13.4422,-22.2462,0.0
zone_08,2026-02-18,14.8115,203.6419,-0.03519,-10.0283,-17.1241,0.0
zone_09,2026-02-18,3.128,105.5919,0.0005,-12.5029,-21.2088,0.0
zone_10,2026-02-18,12.0184,229.9116,-0.03979,-11.9482,-20.0108,0.0
zone_11,2026-02-18,16.242,337.329,-0.00185,-13.1937,-21.6275,0.0
zone_12,2026-02-18,12.406,314.2971,-0.067788,-12.2391,-21.7411,0.0
zone_13,2026-02-18,1.2123,82.5197,-0.004406,-11.7151,-21.0821,0.0
zone_14,2026-02-18,5.6308,229.9163,0.01853,-11.9628,-20.6116,0.0
zone_15,2026-02-18,3.3809,260.4495,-0.012809,-12.9666,-22.0991,0.0
zone_16,2026-02-18,1.1964,158.6191,0.009475,-14.5224,-22.431,0.0
zone_01,2026-03-02,4.805,111.1703,0.047333,-9.3315,-17.3479,0.0
zone_02,2026-03-02,5.3165,195.2216,0.02904,-9.7086,-18.1756,0.0
zone_03,2026-03-02,10.2624,195.2096,-0.046989,-10.0107,-18.5224,0.0
zone_04,2026-03-02,10.7567,15.7899,0.000708,-9.1501,-14.9889,0.0
zone_05,2026-03-02,0.8126,146.9745,0.007313,-12.8666,-21.79,0.0
zone_06,2026-03-02,11.1678,165.702,-0.030888,-11.3367,-19.4922,0.0
zone_07,2026-03-02,11.5147,169.6676,-0.005945,-13.4399,-22.4766,0.0
zone_08,2026-03-02,14.8115,203.6419,-0.03519,-9.8022,-16.9111,0.0
zone_09,2026-03-02,3.128,105.5919,0.0005,-11.8185,-20.9291,0.0
zone_10,2026-03-02,12.0184,229.9116,-0.03979,-11.8295,-19.9097,0.0
zone_11,2026-03-02,16.242,337.329,-0.00185,-12.7964,-21.2175,0.0
zone_12,2026-03-02,12.406,314.2971,-0.067788,-12.0536,-21.6709,0.0
zone_13,2026-03-02,1.2123,82.5197,-0.004406,-11.4079,-20.9709,0.0
zone_14,2026-03-02,5.6308,229.9163,0.01853,-11.6645,-20.3203,0.0
zone_15,2026-03-02,3.3809,260.4495,-0.012809,-13.117,-21.523,0.0
zone_16,2026-03-02,1.1964,158.6191,0.009475,-14.3776,-22.4305,0.0
zone_01,2026-03-14,4.805,111.1703,0.047333,-9.3699,-17.4202,0.0
zone_02,2026-03-14,5.3165,195.2216,0.02904,-9.7011,-17.9187,0.0
zone_03,2026-03-14,10.2624,195.2096,-0.046989,-9.2755,-18.3864,0.0
zone_04,2026-03-14,10.7567,15.7899,0.000708,-9.0446,-15.2207,0.0
zone_05,2026-03-14,0.8126,146.9745,0.007313,-12.6454,-21.3681,0.0
zone_06,2026-03-14,11.1678,165.702,-0.030888,-11.3158,-19.2895,0.0
zone_07,2026-03-14,11.5147,169.6676,-0.005945,-13.3104,-22.1352,0.0
zone_08,2026-03-14,14.8115,203.6419,-0.03519,-9.4709,-16.8504,0.0
zone_09,2026-03-14,3.128,105.5919,0.0005,-12.1607,-20.5849,0.0
zone_10,2026-03-14,12.0184,229.9116,-0.03979,-11.7658,-19.7838,0.0
zone_11,2026-03-14,16.242,337.329,-0.00185,-13.0245,-21.1201,0.0
zone_12,2026-03-14,12.406,314.2971,-0.067788,-11.8664,-21.321,0.0
zone_13,2026-03-14,1.2123,82.5197,-0.004406,-11.4003,-20.6831,0.0
zone_14,2026-03-14,5.6308,229.9163,0.01853,-11.7535,-20.0371,0.0
zone_15,2026-03-14,3.3809,260.4495,-0.012809,-12.9136,-21.3342,0.0
zone_16,2026-03-14,1.1964,158.6191,0.009475,-14.2812,-22.1874,0.0
zone_01,2026-03-26,4.805,111.1703,0.047333,-9.2417,-17.3048,0.0
zone_02,2026-03-26,5.3165,195.2216,0.02904,-9.7552,-18.1966,0.0
zone_03,2026-03-26,10.2624,195.2096,-0.046989,-9.6391,-18.3029,0.0
zone_04,2026-03-26,10.7567,15.7899,0.000708,-9.1471,-15.055,0.0
zone_05,2026-03-26,0.8126,146.9745,0.007313,-12.9766,-21.7247,0.0
zone_06,2026-03-26,11.1678,165.702,-0.030888,-11.3245,-19.2238,0.0
zone_07,2026-03-26,11.5147,169.6676,-0.005945,-13.7372,-22.4482,0.0
zone_08,2026-03-26,14.8115,203.6419,-0.03519,-9.3917,-16.8423,0.0
zone_09,2026-03-26,3.128,105.5919,0.0005,-12.2545,-20.8642,0.0
zone_10,2026-03-26,12.0184,229.9116,-0.03979,-11.5237,-19.5511,0.0
zone_11,2026-03-26,16.242,337.329,-0.00185,-12.8255,-21.0267,0.0
zone_12,2026-03-26,12.406,314.2971,-0.067788,-11.5699,-20.9116,0.0
zone_13,2026-03-26,1.2123,82.5197,-0.004406,-11.3842,-20.781,0.0
zone_14,2026-03-26,5.6308,229.9163,0.01853,-11.7378,-20.1603,0.0
zone_15,2026-03-26,3.3809,260.4495,-0.012809,-13.2159,-21.8905,0.0
zone_16,2026-03-26,1.1964,158.6191,0.009475,-14.2077,-21.9535,0.0
zone_01,2026-04-07,4.805,111.1703,0.047333,-9.2213,-17.3627,0.0
zone_02,2026-04-07,5.3165,195.2216,0.02904,-10.1461,-18.5719,0.0
zone_03,2026-04-07,10.2624,195.2096,-0.046989,-9.5229,-18.5339,0.0
zone_04,2026-04-07,10.7567,15.7899,0.000708,-9.3838,-15.5867,0.0
zone_05,2026-04-07,0.8126,146.9745,0.007313,-13.199,-22.4777,0.0
zone_06,2026-04-07,11.1678,165.702,-0.030888,-11.316,-19.9748,0.0
zone_07,2026-04-07,11.5147,169.6676,-0.005945,-13.4824,-23.2282,0.0
zone_08,2026-04-07,14.8115,203.6419,-0.03519,-9.7666,-17.41,0.0
zone_09,2026-04-07,3.128,105.5919,0.0005,-12.106,-21.6006,0.0
zone_10,2026-04-07,12.0184,229.9116,-0.03979,-11.6713,-20.5048,0.0
zone_11,2026-04-07,16.242,337.329,-0.00185,-12.8014,-22.2181,0.0
zone_12,2026-04-07,12.406,314.2971,-0.067788,-11.9253,-22.3557,0.0
zone_13,2026-04-07,1.2123,82.5197,-0.004406,-11.3279,-20.9353,0.0
zone_14,2026-04-07,5.6308,229.9163,0.01853,-11.4398,-20.7305,0.0
zone_15,2026-04-07,3.3809,260.4495,-0.012809,-13.2566,-22.4779,0.0
zone_16,2026-04-07,1.1964,158.6191,0.009475,-14.0692,-22.6754,0.0
zone_01,2026-04-19,4.805,111.1703,0.047333,-9.1679,-17.3344,0.0
zone_02,2026-04-19,5.3165,195.2216,0.02904,-9.8777,-18.2657,0.0
zone_03,2026-04-19,10.2624,195.2096,-0.046989,-9.8047,-18.6661,0.0
