date,rainfall_mm
2025-11-24,0.0
2025-11-25,0.0
2025-11-26,0.0
2025-11-27,0.0
2025-11-28,0.0
2025-11-29,0.0
2025-11-30,0.0
2025-12-01,0.0
2025-12-02,0.0
2025-12-03,0.0
2025-12-04,0.0
2025-12-05,0.0
2025-12-06,0.0
2025-12-07,0.0
2025-12-08,0.0
2025-12-09,0.0
2025-12-10,0.0
2025-12-11,0.0
2025-12-12,0.0
2025-12-13,0.0
2025-12-14,0.0
2025-12-15,0.0
2025-12-16,0.0
2025-12-17,0.0
2025-12-18,0.0
2025-12-19,0.0
2025-12-20,0.0
2025-12-21,0.0
2025-12-22,0.0
2025-12-23,0.0
2025-12-24,0.0
2025-12-25,0.0
2025-12-26,0.0
2025-12-27,0.0
2025-12-28,0.0
2025-12-29,0.0
2025-12-30,0.0
2025-12-31,0.0
2026-01-01,0.0
2026-01-02,0.0
2026-01-03,0.0
2026-01-04,0.0
2026-01-05,0.0
2026-01-06,0.0
2026-01-07,0.0
2026-01-08,0.0
2026-01-09,0.0
2026-01-10,0.0
2026-01-11,0.0
2026-01-12,0.0
2026-01-13,0.0
2026-01-14,0.0
2026-01-15,0.0
2026-01-16,0.0
2026-01-17,0.0
2026-01-18,0.0
2026-01-19,0.0
2026-01-20,0.0
2026-01-21,0.0
2026-01-22,0.0
2026-01-23,0.0
2026-01-24,0.0
2026-01-25,0.0
2026-01-26,0.0
2026-01-27,0.0
2026-01-28,0.0
2026-01-29,0.0
2026-01-30,0.0
2026-01-31,0.0
2026-02-01,0.0
2026-02-02,0.0
2026-02-03,0.0
2026-02-04,0.0
2026-02-05,0.0
2026-02-06,0.0
2026-02-07,0.0
2026-02-08,0.0
2026-02-09,0.0
2026-02-10,0.0
2026-02-11,0.0
2026-02-12,0.0
2026-02-13,0.0
2026-02-14,0.0
2026-02-15,0.0
2026-02-16,0.0
2026-02-17,0.0
2026-02-18,0.0
2026-02-19,0.0
2026-02-20,0.0
2026-02-21,0.0
2026-02-22,0.0
2026-02-23,0.1
2026-02-24,0.0
2026-02-25,0.0
2026-02-26,0.0
2026-02-27,0.0
2026-02-28,0.0
2026-03-01,0.0
2026-03-02,0.0
2026-03-03,0.0
2026-03-04,0.0
2026-03-05,0.0
2026-03-06,0.0
2026-03-07,0.0
2026-03-08,0.0
2026-03-09,0.0
2026-03-10,0.0
2026-03-11,0.0
2026-03-12,0.0
2026-03-13,0.0
2026-03-14,0.0
2026-03-15,0.0
2026-03-16,0.0
2026-03-17,0.0
2026-03-18,0.0
2026-03-19,0.0
2026-03-20,12.9
2026-03-21,0.2
2026-03-22,0.0
2026-03-23,0.0
2026-03-24,0.0
2026-03-25,0.0
2026-03-26,0.0
2026-03-27,1.9
2026-03-28,0.0
2026-03-29,0.0
2026-03-30,0.0
2026-03-31,0.0
2026-04-01,0.0
2026-04-02,0.0
2026-04-03,2.6
2026-04-04,1.4
2026-04-05,0.3
2026-04-06,0.2
2026-04-07,0.0
2026-04-08,0.0
2026-04-09,0.0
2026-04-10,0.0
2026-04-11,0.0
2026-04-12,0.0
2026-04-13,0.0
2026-04-14,0.0
2026-04-15,0.0
2026-04-16,0.0
2026-04-17,0.0
2026-04-18,0.0
2026-04-19,0.0
2026-04-20,0.0
2026-04-21,0.0
2026-04-22,0.0
2026-04-23,0.0
2026-04-24,0.0
2026-04-25,0.0
2026-04-26,0.0
2026-04-27,0.0
2026-04-28,0.0
2026-04-29,0.0
2026-04-30,0.3
2026-05-01,0.0
2026-05-02,0.0
2026-05-03,0.0
2026-05-04,0.2
2026-05-05,0.0
2026-05-06,0.0
2026-05-07,0.0
2026-05-08,0.0
2026-05-09,0.0
2026-05-10,0.0
2026-05-11,0.0
2026-05-12,0.0
2026-05-13,0.6
2026-05-14,0.0
2026-05-15,0.0
2026-05-16,0.1
2026-05-17,0.1
2026-05-18,0.1
2026-05-19,0.0
2026-05-20,0.0
2026-05-21,0.0
2026-05-22,0.0
2026-05-23,0.0
2026-05-24,0.0
2026-05-25,0.0
2026-05-26,0.0
2026-05-27,0.1
2026-05-28,0.0
2026-05-29,1.1
2026-05-30,19.4
2026-05-31,0.1
2026-06-01,0.0
2026-06-02,1.9
2026-06-03,0.0
2026-06-04,0.2
2026-06-05,0.1
2026-06-06,0.2
2026-06-07,0.0
2026-06-08,1.4
2026-06-09,3.2
2026-06-10,0.9
2026-06-11,0.6
2026-06-12,0.6
2026-06-13,0.1
2026-06-14,0.0
2026-06-15,0.0
2026-06-16,0.6
2026-06-17,1.3
2026-06-18,0.1
2026-06-19,1.0
2026-06-20,1.0
2026-06-21,0.1
2026-06-22,6.0
2026-06-23,3.3
2026-06-24,0.9
2026-06-25,0.1
2026-06-26,2.9
2026-06-27,1.2
2026-06-28,1.8
2026-06-29,6.1
2026-06-30,13.9
2026-07-01,5.2
2026-07-02,25.3
2026-07-03,26.4
2026-07-04,47.9
2026-07-05,31.3
2026-07-06,31.0
2026-07-07,6.2
2026-07-08,5.1
2026-07-09,7.7
2026-07-10,8.2
2026-07-11,1.6
2026-07-12,1.2
2026-07-13,1.3
2026-07-14,4.7
2026-07-15,2.8
2026-07-16,17.5
2026-07-17,19.2
2026-07-18,16.4
2026-07-19,13.3
2026-07-20,11.4
2026-07-21,52.4
2026-07-22,44.0
2026-07-23,3.4
2026-07-24,6.0
2026-07-25,18.9
2026-07-26,12.7
2026-07-27,20.0
2026-07-28,31.4
2026-07-29,0.8
2026-07-30,3.1
2026-07-31,5.7
2026-08-01,7.4
2026-08-02,2.4
2026-08-03,12.4
2026-08-04,16.2
2026-08-05,12.6
2026-08-06,27.3
2026-08-07,19.0
2026-08-08,25.2
2026-08-09,2.1
2026-08-10,3.6
2026-08-11,3.9
2026-08-12,10.1
